datetime,f107,kp,dst,sunspot
2024-01-01 6:00:00,131.2,7,3,55
2024-01-01 12:00:00,131.2,20,-3,55
2024-01-01 18:00:00,131.2,33,-27,55
2024-01-02 6:00:00,137.4,7,-14,68
2024-01-02 12:00:00,137.4,23,-6,68
2024-01-02 18:00:00,137.4,20,-14,68
2024-01-03 6:00:00,135.5,10,11,59
2024-01-03 12:00:00,135.5,17,-3,59
2024-01-03 18:00:00,135.5,33,-6,59
2024-01-04 6:00:00,121.6,17,-8,100
2024-01-04 12:00:00,121.6,7,-2,100
2024-01-04 18:00:00,121.6,10,-15,100
2024-01-05 6:00:00,147.6,3,-20,119
2024-01-05 12:00:00,147.6,13,-5,119
2024-01-05 18:00:00,147.6,3,-12,119
2024-01-06 6:00:00,154.1,0,-7,148
2024-01-06 12:00:00,154.1,0,0,148
2024-01-06 18:00:00,154.1,7,-6,148
2024-01-07 6:00:00,161.6,0,-4,172
2024-01-07 12:00:00,161.6,3,6,172
2024-01-07 18:00:00,161.6,0,2,172
2024-01-08 6:00:00,170.4,0,7,162
2024-01-08 12:00:00,170.4,10,8,162
2024-01-08 18:00:00,170.4,13,10,162
2024-01-09 6:00:00,170.1,23,3,158
2024-01-09 12:00:00,170.1,7,11,158
2024-01-09 18:00:00,170.1,3,0,158
2024-01-11 6:00:00,186.2,17,-9,186
2024-01-11 12:00:00,186.2,20,-7,186
2024-01-11 18:00:00,186.2,7,-14,186
2024-01-12 6:00:00,180.3,3,1,182
2024-01-12 12:00:00,180.3,13,-6,182
2024-01-12 18:00:00,180.3,7,-11,182
2024-01-13 6:00:00,179.4,3,0,181
2024-01-13 12:00:00,179.4,7,-6,181
2024-01-13 18:00:00,179.4,3,0,181
2024-01-14 6:00:00,181.7,17,-3,161
2024-01-14 12:00:00,181.7,17,-9,161
2024-01-14 18:00:00,181.7,20,-24,161
2024-01-15 6:00:00,176.6,17,-5,140
2024-01-15 12:00:00,176.6,23,-5,140
2024-01-15 18:00:00,176.6,13,-8,140
2024-01-16 6:00:00,173.8,7,-1,134
2024-01-16 12:00:00,173.8,7,-8,134
2024-01-16 18:00:00,173.8,10,4,134
2024-01-18 6:00:00,157.1,10,8,130
2024-01-18 12:00:00,157.1,13,-10,130
2024-01-18 18:00:00,157.1,23,-7,130
2024-01-19 6:00:00,152.4,17,-22,143
2024-01-19 12:00:00,152.4,17,-6,143
2024-01-19 18:00:00,152.4,13,-13,143
2024-01-20 6:00:00,161,13,-5,134
2024-01-20 12:00:00,161,20,-13,134
2024-01-20 18:00:00,161,13,-9,134
2024-01-21 6:00:00,172.9,13,-6,155
2024-01-21 12:00:00,172.9,17,-12,155
2024-01-21 18:00:00,172.9,7,7,155
2024-01-22 6:00:00,189.9,10,0,166
2024-01-22 12:00:00,189.9,17,-1,166
2024-01-22 18:00:00,189.9,30,13,166
2024-01-23 6:00:00,174.7,17,-7,148
2024-01-23 12:00:00,174.7,13,-3,148
2024-01-23 18:00:00,174.7,10,2,148
2024-01-24 6:00:00,166.6,30,-8,124
2024-01-24 12:00:00,166.6,13,3,124
2024-01-24 18:00:00,166.6,3,2,124
2024-01-25 6:00:00,155.6,7,3,92
2024-01-25 12:00:00,155.6,17,2,92
2024-01-25 18:00:00,155.6,13,8,92
2024-01-26 6:00:00,151.9,3,-1,83
2024-01-26 12:00:00,151.9,20,9,83
2024-01-26 18:00:00,151.9,13,-5,83
2024-01-27 6:00:00,143.6,10,-7,64
2024-01-27 12:00:00,143.6,7,1,64
2024-01-27 18:00:00,143.6,7,-1,64
2024-01-28 6:00:00,136.8,10,13,68
2024-01-28 12:00:00,136.8,13,17,68
2024-01-28 18:00:00,136.8,30,-3,68
2024-01-29 6:00:00,136.1,10,-7,74
2024-01-29 12:00:00,136.1,23,-6,74
2024-01-29 18:00:00,136.1,23,-9,74
2024-01-30 6:00:00,131,17,-11,74
2024-01-30 12:00:00,131,10,-8,74
2024-01-30 18:00:00,131,23,-9,74
2024-01-31 6:00:00,132.2,13,-7,100
2024-01-31 12:00:00,132.2,13,-2,100
2024-01-31 18:00:00,132.2,20,-7,100
2024-02-01 6:00:00,132.9,20,10,117
2024-02-01 12:00:00,132.9,10,-1,117
2024-02-01 18:00:00,132.9,20,-6,117
2024-02-02 6:00:00,138.5,10,-5,122
2024-02-02 12:00:00,138.5,7,-4,122
2024-02-02 18:00:00,138.5,3,0,122
2024-02-03 6:00:00,152,3,-1,124
2024-02-03 12:00:00,152,0,3,124
